Y	VEL
0.813	0.13296
0.814	0.13617
0.815	0.13937
0.816	0.14253
0.817	0.14568
0.818	0.14884
0.819	0.15199
0.82	0.15515
0.821	0.1583
0.822	0.16146
0.823	0.16461
0.824	0.16776
0.825	0.17092
0.826	0.17407
0.827	0.17723
0.828	0.18038
0.829	0.18353
0.83	0.18669
0.831	0.19022
0.832	0.19377
0.833	0.19733
0.834	0.20088
0.835	0.20444
0.836	0.208
0.837	0.21157
0.838	0.21516
0.839	0.21874
0.84	0.22232
0.841	0.22591
0.842	0.22949
0.843	0.23308
0.844	0.23666
0.845	0.24024
0.846	0.24383
0.847	0.24741
0.848	0.251
0.849	0.25458
0.85	0.25816
0.851	0.26182
0.852	0.26576
0.853	0.26969
0.854	0.27363
0.855	0.27757
0.856	0.2815
0.857	0.28544
0.858	0.28937
0.859	0.29331
0.86	0.29725
0.861	0.30118
0.862	0.30512
0.863	0.30906
0.864	0.31299
0.865	0.31692
0.866	0.32086
0.867	0.32479
0.868	0.32872
0.869	0.33267
0.87	0.33692
0.871	0.34118
0.872	0.34543
0.873	0.34969
0.874	0.35395
0.875	0.3582
0.876	0.36246
0.877	0.36671
0.878	0.37097
0.879	0.3752
0.88	0.37942
0.881	0.38365
0.882	0.38787
0.883	0.39209
0.884	0.39632
0.885	0.40054
0.886	0.40482
0.887	0.40936
0.888	0.41389
0.889	0.41842
0.89	0.42295
0.891	0.42748
0.892	0.432
0.893	0.43651
0.894	0.44102
0.895	0.44553
0.896	0.45004
0.897	0.45455
0.898	0.45906
0.899	0.46357
0.9	0.46808
0.901	0.4726
0.902	0.47713
0.903	0.48193
0.904	0.48673
0.905	0.49152
0.906	0.49632
0.907	0.50112
0.908	0.50592
0.909	0.51072
0.91	0.51551
0.911	0.52031
0.912	0.52511
0.913	0.52991
0.914	0.53469
0.915	0.53946
0.916	0.54423
0.917	0.549
0.918	0.55386
0.919	0.55889
0.92	0.56392
0.921	0.56895
0.922	0.57398
0.923	0.57899
0.924	0.58401
0.925	0.58903
0.926	0.59405
0.927	0.59906
0.928	0.60408
0.929	0.6091
0.93	0.61411
0.931	0.61913
0.932	0.62415
0.933	0.62917
0.934	0.63434
0.935	0.63958
0.936	0.64482
0.937	0.65005
0.938	0.65529
0.939	0.66053
0.94	0.66577
0.941	0.671
0.942	0.67624
0.943	0.68148
0.944	0.68671
0.945	0.69195
0.946	0.6972
0.947	0.70257
0.948	0.70796
0.949	0.71334
0.95	0.71873
0.951	0.72411
0.952	0.72949
0.953	0.73488
0.954	0.74026
0.955	0.74564
0.956	0.75102
0.957	0.75641
0.958	0.76179
0.959	0.76732
0.96	0.77284
0.961	0.77837
0.962	0.7839
0.963	0.78942
0.964	0.79495
0.965	0.80047
0.966	0.806
0.967	0.81152
0.968	0.81705
0.969	0.82257
0.97	0.82816
0.971	0.83381
0.972	0.83945
0.973	0.8451
0.974	0.85075
0.975	0.85639
0.976	0.86204
0.977	0.86768
0.978	0.87332
0.979	0.87896
0.98	0.88459
0.981	0.89028
0.982	0.89601
0.983	0.90175
0.984	0.90749
0.985	0.91323
0.986	0.91897
0.987	0.9247
0.988	0.93044
0.989	0.93618
0.99	0.94192
0.991	0.94767
0.992	0.95349
0.993	0.9593
0.994	0.96512
0.995	0.97093
0.996	0.97674
0.997	0.98256
0.998	0.98837
0.999	0.99419
1	1
